                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1427,                 1.4187,                 1.1447,                0.47584,                 0.4602,                0.43221,                0.29093,                 1.1939,                 1.4768,                 1.1579,             0.00070105,             0.00070105,             0.00070105
                     35,                 1.1158,                 1.3884,                 1.1346,                0.44909,                0.46781,                0.42421,                 0.2896,                 1.2065,                 1.4877,                 1.1605,             0.00069693,             0.00069693,             0.00069693
                     36,                 1.1175,                 1.3645,                 1.1235,                0.47128,                0.44112,                0.42646,                0.29142,                 1.1988,                 1.4832,                 1.1601,             0.00069281,             0.00069281,             0.00069281
                     37,                 1.1337,                 1.3808,                 1.1325,                0.50974,                0.46172,                0.44693,                0.29767,                 1.1969,                 1.4785,                 1.1593,             0.00068868,             0.00068868,             0.00068868
                     38,                   1.11,                 1.3489,                 1.1188,                0.50656,                0.43314,                0.43048,                0.29071,                 1.1852,                 1.4846,                 1.1531,             0.00068456,             0.00068456,             0.00068456
                     39,                 1.1056,                 1.3643,                 1.1256,                0.47869,                 0.4433,                0.41723,                0.28234,                 1.1991,                 1.4855,                 1.1571,             0.00068044,             0.00068044,             0.00068044
                     40,                 1.1059,                 1.3601,                  1.119,                0.48893,                0.43786,                0.42103,                0.28463,                 1.1822,                  1.509,                  1.158,             0.00067631,             0.00067631,             0.00067631
                     41,                 1.1013,                 1.3206,                 1.1159,                 0.4698,                0.46294,                0.42579,                0.28667,                  1.194,                 1.4697,                 1.1595,             0.00067219,             0.00067219,             0.00067219
                     42,                 1.0756,                 1.3165,                  1.107,                0.50346,                0.44235,                0.43325,                0.29727,                 1.1916,                 1.4467,                  1.159,             0.00066807,             0.00066807,             0.00066807
                     43,                 1.0866,                 1.3388,                 1.1169,                0.50732,                0.44579,                0.43381,                0.29597,                 1.1884,                 1.4983,                 1.1506,             0.00066394,             0.00066394,             0.00066394
                     44,                 1.0878,                 1.3416,                 1.1156,                0.46994,                0.49304,                 0.4448,                0.30274,                 1.1857,                 1.4551,                 1.1626,             0.00065982,             0.00065982,             0.00065982
                     45,                 1.0853,                 1.3073,                 1.1093,                0.52114,                0.46244,                0.45989,                0.31775,                 1.1709,                 1.4457,                 1.1528,              0.0006557,              0.0006557,              0.0006557
                     46,                 1.0794,                 1.2928,                 1.1067,                0.50788,                0.48498,                0.45174,                0.30269,                 1.1965,                 1.4609,                  1.158,             0.00065157,             0.00065157,             0.00065157
                     47,                 1.0804,                 1.2871,                  1.102,                0.56007,                0.43833,                0.45791,                0.31151,                 1.1867,                 1.4546,                  1.155,             0.00064745,             0.00064745,             0.00064745
                     48,                 1.0551,                  1.275,                 1.1006,                0.49776,                0.46189,                0.44727,                0.30532,                 1.1793,                 1.4492,                  1.154,             0.00064333,             0.00064333,             0.00064333
                     49,                 1.0541,                 1.2562,                 1.0941,                0.54314,                0.45177,                0.46277,                 0.3145,                 1.1817,                 1.4494,                 1.1443,              0.0006392,              0.0006392,              0.0006392
                     50,                 1.0607,                 1.2542,                 1.0959,                0.47873,                0.47977,                0.45215,                0.31217,                  1.161,                 1.4333,                 1.1425,             0.00063508,             0.00063508,             0.00063508
                     51,                  1.063,                 1.2531,                 1.1041,                0.50786,                0.45119,                0.45091,                0.31591,                 1.1565,                 1.4069,                 1.1421,             0.00063096,             0.00063096,             0.00063096
                     52,                 1.0454,                 1.2394,                 1.0929,                0.55013,                0.44324,                0.45989,                0.31743,                 1.1785,                 1.4399,                 1.1477,             0.00062683,             0.00062683,             0.00062683
                     53,                 1.0614,                 1.2498,                 1.0938,                0.54502,                0.47886,                0.46899,                0.32065,                 1.1756,                 1.4341,                 1.1566,             0.00062271,             0.00062271,             0.00062271
                     54,                 1.0528,                 1.2694,                 1.0972,                0.52516,                0.47139,                0.46824,                 0.3197,                 1.1786,                 1.4383,                 1.1536,             0.00061859,             0.00061859,             0.00061859
                     55,                 1.0293,                 1.2235,                 1.0864,                0.51773,                0.45343,                0.45166,                0.30738,                 1.1699,                 1.4356,                 1.1482,             0.00061446,             0.00061446,             0.00061446
                     56,                 1.0353,                 1.2119,                 1.0864,                0.52649,                0.44775,                0.45999,                 0.3123,                 1.1859,                  1.441,                  1.154,             0.00061034,             0.00061034,             0.00061034
                     57,                 1.0266,                 1.2029,                 1.0846,                0.55944,                0.47455,                 0.4734,                0.32357,                 1.1671,                 1.4285,                 1.1443,             0.00060622,             0.00060622,             0.00060622
                     58,                 1.0255,                 1.2006,                 1.0803,                0.50626,                0.48232,                 0.4693,                0.32434,                 1.1714,                 1.4369,                 1.1484,             0.00060209,             0.00060209,             0.00060209
                     59,                 1.0257,                 1.1913,                  1.083,                0.53703,                0.47963,                0.47304,                0.32817,                 1.1682,                 1.4364,                 1.1522,             0.00059797,             0.00059797,             0.00059797
                     60,                 1.0085,                 1.1945,                 1.0793,                0.51762,                0.47559,                0.45841,                0.31552,                 1.1744,                 1.4466,                  1.152,             0.00059385,             0.00059385,             0.00059385
                     61,                 1.0216,                 1.1873,                 1.0763,                 0.5863,                0.43013,                0.45882,                0.31569,                 1.1734,                 1.4338,                 1.1535,             0.00058972,             0.00058972,             0.00058972
                     62,                 1.0183,                 1.1848,                 1.0773,                0.54135,                0.45481,                0.46614,                0.32068,                 1.1648,                 1.4377,                 1.1489,              0.0005856,              0.0005856,              0.0005856
